category,filter_type,bilateral_symmetry,lr_imbalance,multifractal_width,entropy,junctions
ai_faces_1k,raw,0.7223,0.1411,0.4075,7.3378,825
ai_faces_1k,raw,0.8243,0.0113,0.8301,7.339,1349
ai_faces_1k,raw,0.6576,0.1576,0.5262,7.3358,1035
ai_faces_1k,raw,0.792,0.1281,1.245,7.8505,3420
ai_faces_1k,raw,0.7532,0.1948,0.25,7.5268,1686
ai_faces_1k,raw,0.8404,0.1059,0.3402,7.2518,1059
ai_faces_1k,raw,0.8571,0.0109,0.4119,7.5233,1512
ai_faces_1k,raw,0.8367,0.1295,0.1422,7.3545,1663
ai_faces_1k,raw,0.8123,0.1393,1.3398,7.0902,1787
ai_faces_1k,raw,0.8989,0.0229,0.2975,7.6149,1211
ai_faces_1k,raw,0.8077,0.1497,0.3329,7.4192,582
ai_faces_1k,raw,0.8072,0.0722,1.1636,7.1688,880
ai_faces_1k,raw,0.7789,0.2063,0.1572,7.4137,1072
ai_faces_1k,raw,0.7538,0.1164,0.2854,7.8074,927
ai_faces_1k,raw,0.8283,0.0366,1.2832,7.8387,1907
ai_faces_1k,raw,0.7758,0.1044,0.7702,7.6943,1326
ai_faces_1k,raw,0.7889,0.079,1.1971,7.3044,1062
ai_faces_1k,raw,0.8397,0.0128,0.1335,7.2339,1143
ai_faces_1k,raw,0.8767,0.0454,0.3487,7.4765,538
ai_faces_1k,raw,0.8028,0.171,1.0154,7.625,1071
ai_faces_1k,raw,0.8151,0.01,0.426,7.785,3095
ai_faces_1k,raw,0.8745,0.0142,1.7743,6.5869,780
ai_faces_1k,raw,0.7271,0.2645,0.2391,6.7947,1059
ai_faces_1k,raw,0.8742,0.0448,0.0963,7.4675,834
ai_faces_1k,raw,0.8446,0.1205,0.2484,7.0756,1582
ai_faces_1k,raw,0.924,0.0233,1.7997,6.8803,971
ai_faces_1k,raw,0.7751,0.09,0.3939,7.6576,1391
ai_faces_1k,raw,0.8992,0.0693,0.1041,6.9524,974
ai_faces_1k,raw,0.8701,0.0313,0.5759,7.6062,3624
ai_faces_1k,raw,0.84,0.0786,0.3524,7.4123,1530
ai_faces_1k,raw,0.8665,0.0856,0.4194,7.3146,843
ai_faces_1k,raw,0.855,0.0744,0.4726,7.6878,1202
ai_faces_1k,raw,0.8446,0.0953,0.1095,6.255,904
ai_faces_1k,raw,0.8219,0.1176,0.1115,7.7044,3005
ai_faces_1k,raw,0.8853,0.068,1.074,7.1756,823
ai_faces_1k,raw,0.8403,0.0654,0.5496,7.4225,713
ai_faces_1k,raw,0.8135,0.0003,0.6452,7.2843,576
ai_faces_1k,raw,0.81,0.0822,0.248,6.8341,736
ai_faces_1k,raw,0.8829,0.0555,0.3115,7.294,555
ai_faces_1k,raw,0.9213,0.0195,0.2301,7.2419,1141
ai_faces_1k,raw,0.8307,0.0598,1.1926,7.209,1063
ai_faces_1k,raw,0.7208,0.2223,0.4656,7.6633,1893
ai_faces_1k,raw,0.8171,0.1395,0.3053,7.1725,1165
